2022/07/19 - 「游泳」10年 尖石鄉泰雅勇士像重新「上岸」亮相,2024/07/20 - 曾是特戰部隊山訓場！尖石鐵嶺基地 將蛻變成泰雅探索體驗園區,2025/09/30 - 新竹縣尖石鄉也有堰塞湖 林業署新竹分署評估安全無慮,2024/12/19 - 寒流來襲！新竹縣尖石鄉下冰霰 民眾驚喜喊「好美」,2025/05/25 -  37歲香港男於新竹尖石鄉山坡墜落 消防員晚間涉險搜救送醫,2021/06/24 - 尖石鄉露營產業亂象與原民部落觀光契機,2025/10/22 - 竹縣尖石秀巒5戶13人拒撤離！台耀聯絡道路、竹60線落石清除中,2024/11/28 - 竹縣尖石公墓滿葬一位難求，劉建民：更新牛步、未來恐亂葬,2025/10/04 - 中秋烤車…尖石外環道鐵皮屋突冒大火 波及休旅車畫面曝,2021/09/13 - 尖石秀巒控溪部落爆走山！急封路、撤當地住民及師生,2025/08/02 - 竹縣尖石鄉幸福巴士升級 添購3輛新車,2025/01/04 - 尖石楓紅爆美湧人潮 車潮、垃圾炸裂部落怒了
1.0,0.7808365070073585,0.535037702521124,0.36040423397981025,-0.2891720856291422,0.571142786394847,0.2164979501409675,0.7044372482392964,-0.1447747856903041,0.38690454550116393,0.8099997061785015,0.3903829021833456
0.7808365070073585,1.0,0.2088872386601005,0.16622641754232304,0.18011640567162335,0.654841864819797,0.2743968681285196,0.9796873578601717,-0.032256360636933934,-0.08075070945362928,0.7396264797486201,0.19040502295242223
0.535037702521124,0.2088872386601005,1.0,0.8542308186809647,0.16990100798531704,0.6495164079382659,0.8025091590585787,0.2826994430760398,0.009478850049871146,0.944512906835917,0.24899924121054318,0.4814764046410396
0.36040423397981025,0.16622641754232304,0.8542308186809647,1.0,0.27672167758432664,0.3707594877624869,0.7452055878769772,0.26941023719677304,-0.41836923953712635,0.7542156724674169,-0.12822635528711102,-0.03502873742251977
-0.2891720856291422,0.18011640567162335,0.16990100798531704,0.27672167758432664,1.0,0.4996697909603296,0.7227757664300325,0.3641634363155648,0.320570680938552,-0.02587461245927214,-0.19414440223081475,0.027355179170215238
0.571142786394847,0.654841864819797,0.6495164079382659,0.3707594877624869,0.4996697909603296,1.0,0.7827416139569294,0.7282846085963605,0.5093284127775526,0.44685740280572916,0.6736333996483305,0.7224234019310047
0.2164979501409675,0.2743968681285196,0.8025091590585787,0.7452055878769772,0.7227757664300325,0.7827416139569294,1.0,0.4347977721548464,0.23445435098702783,0.6429794870867976,0.09369006992000783,0.38868121202501293
0.7044372482392964,0.9796873578601717,0.2826994430760398,0.26941023719677304,0.3641634363155648,0.7282846085963605,0.4347977721548464,1.0,0.0022996229282585823,-0.029652266831304397,0.6521238674001406,0.18424888228207714
-0.1447747856903041,-0.032256360636933934,0.009478850049871146,-0.41836923953712635,0.320570680938552,0.5093284127775526,0.23445435098702783,0.0022996229282585823,1.0,0.03707554085736042,0.39583584768558,0.7968509282941135
0.38690454550116393,-0.08075070945362928,0.944512906835917,0.7542156724674169,-0.02587461245927214,0.44685740280572916,0.6429794870867976,-0.029652266831304397,0.03707554085736042,1.0,0.12760324318091665,0.5011671090951542
0.8099997061785015,0.7396264797486201,0.24899924121054318,-0.12822635528711102,-0.19414440223081475,0.6736333996483305,0.09369006992000783,0.6521238674001406,0.39583584768558,0.12760324318091665,1.0,0.7015275878314364
0.3903829021833456,0.19040502295242223,0.4814764046410396,-0.03502873742251977,0.027355179170215238,0.7224234019310047,0.38868121202501293,0.18424888228207714,0.7968509282941135,0.5011671090951542,0.7015275878314364,1.0
