2015/01/19 - 新竹縣油羅溪尖石公、尖石母，露全貌,2010/04/05 - 水田部落秘圳47年後「再發現」,2014/12/14 - 黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,2011/07/17 - 泰雅人尋根，翻山越嶺返聖地,2011/10/04 - 賽夏族朝聖之旅，靈異「撞」況多,2010/09/13 - 盛「礦」重現，復興煤礦拚觀光,2015/01/23 - 泰雅族的遷徙故事，司馬庫斯鮮讀,2014/07/12 - 司馬庫斯護林，青壯守夜,2014/11/19 - 尖石新地標，玉峰大橋修好了,2015/10/25 - 尖石泰雅百歲人瑞，用年金買棉被送人,2012/11/08 - 把鄰人看成豬打獵打死人,2009/03/12 - 桃花舞春風，鎮西堡迎賓,2009/08/07 - 防損，部落急忙採收小米,2009/01/16 - 新竹尖石最後一人，泰雅紋面人瑞辭世,2012/12/10 - 疑會車熄火到退嚕…巴士墜谷，13死10傷
1.0,0.5343614796898901,0.07383339602520356,0.352174867652954,0.46013484919691816,0.6611274139616514,0.40892163180135066,0.4070801745720233,0.2349749773027474,0.038135432357197185,0.008892722701815736,0.04120394084403056,-0.14929974240044896,0.21390040891913387,0.04757697204921385
0.5343614796898901,1.0,0.36173789445755866,0.5515144522569833,0.8521781877726581,0.6329606045679164,0.3042943793056433,0.3080180609771812,0.020381024130303516,0.11365190634992861,0.36464780598800073,0.7125937850140659,0.5494387657106538,0.324647905167778,0.49022048188638156
0.07383339602520356,0.36173789445755866,1.0,0.8558817728428083,0.055066811466433774,0.21791070593962514,0.5837184383792745,0.6865991170485681,0.5557474589062404,0.29302370057473204,0.38922250189220897,0.4789064880954925,0.6316306692906695,-0.11145083645710585,0.3967291656138141
0.352174867652954,0.5515144522569833,0.8558817728428083,1.0,0.16585321976463752,0.5610777928486205,0.4639477991395564,0.5182668814205201,0.6532586638395343,0.44522037803739967,0.106210281796839,0.6916122423176095,0.6853564962328792,0.10463181532213095,0.13107504443039408
0.46013484919691816,0.8521781877726581,0.055066811466433774,0.16585321976463752,1.0,0.3852216364229517,0.1425381782614802,0.05988150029476069,-0.059824457676134646,0.162717857539723,0.5875913345501153,0.3366872890083823,0.1428908236884484,0.4588907759554094,0.693338837869083
0.6611274139616514,0.6329606045679164,0.21791070593962514,0.5610777928486205,0.3852216364229517,1.0,-0.11222012980692098,0.04356804726115826,0.3569518068198987,-0.08472970523748247,0.04209797530821968,0.5080652691980552,0.23538738519491986,-0.16490773820125182,0.022427214344094892
0.40892163180135066,0.3042943793056433,0.5837184383792745,0.4639477991395564,0.1425381782614802,-0.11222012980692098,1.0,0.9350489148367466,0.08677299070613598,0.21764238781015455,0.10360545228751528,0.09528588689886253,0.29029321855358314,0.3077820073561168,0.21584769361301914
0.4070801745720233,0.3080180609771812,0.6865991170485681,0.5182668814205201,0.05988150029476069,0.04356804726115826,0.9350489148367466,1.0,0.08748905087732273,-0.04323247306554845,0.16304253187674023,0.1359020374185329,0.3374269335448179,-0.03004844015789576,0.2412974694356086
0.2349749773027474,0.020381024130303516,0.5557474589062404,0.6532586638395343,-0.059824457676134646,0.3569518068198987,0.08677299070613598,0.08748905087732273,1.0,0.6355657029322105,0.21548825631249435,0.0646361542437146,0.010349800757578964,0.04357446381492747,0.10382427944520345
0.038135432357197185,0.11365190634992861,0.29302370057473204,0.44522037803739967,0.162717857539723,-0.08472970523748247,0.21764238781015455,-0.04323247306554845,0.6355657029322105,1.0,0.040160045488882745,0.18122525786588717,0.15895643733395826,0.7476431800909837,0.06164846025468851
0.008892722701815736,0.36464780598800073,0.38922250189220897,0.106210281796839,0.5875913345501153,0.04209797530821968,0.10360545228751528,0.16304253187674023,0.21548825631249435,0.040160045488882745,1.0,-0.04661846130851388,-0.03861665333880793,-0.09823903810568968,0.9771654560287791
0.04120394084403056,0.7125937850140659,0.4789064880954925,0.6916122423176095,0.3366872890083823,0.5080652691980552,0.09528588689886253,0.1359020374185329,0.0646361542437146,0.18122525786588717,-0.04661846130851388,1.0,0.9278420154713358,0.16712464711445973,0.05469687211331187
-0.14929974240044896,0.5494387657106538,0.6316306692906695,0.6853564962328792,0.1428908236884484,0.23538738519491986,0.29029321855358314,0.3374269335448179,0.010349800757578964,0.15895643733395826,-0.03861665333880793,0.9278420154713358,1.0,0.09866104332177283,0.07004942696779282
0.21390040891913387,0.324647905167778,-0.11145083645710585,0.10463181532213095,0.4588907759554094,-0.16490773820125182,0.3077820073561168,-0.03004844015789576,0.04357446381492747,0.7476431800909837,-0.09823903810568968,0.16712464711445973,0.09866104332177283,1.0,0.03378944337704126
0.04757697204921385,0.49022048188638156,0.3967291656138141,0.13107504443039408,0.693338837869083,0.022427214344094892,0.21584769361301914,0.2412974694356086,0.10382427944520345,0.06164846025468851,0.9771654560287791,0.05469687211331187,0.07004942696779282,0.03378944337704126,1.0
